temps;vitesse
0;0.2203695636911355
1;0.22161122417978193
2;0.2218895757246934
3;0.22414714122121102
4;0.2251793424582029
5;0.22640301448957026
6;0.22637916369574068
7;0.22773771622202058
8;0.22773771622202058
9;0.23076676980392818
10;0.2320941807387388
11;0.23329454949710868
12;0.23463617025213993
13;0.23565445618186323
14;0.23565445618186323
15;0.23807971549773826
16;0.23872824527431533
17;0.23936223880725904
18;0.23972979102989075
19;-0.0
20;-0.0
21;0.011960565173266524
22;0.01148819777981944
23;0.0004725094603026778
24;0.011260481393283802
25;0.011260481393283802
26;0.011746828823665586
27;0.0010351763898071233
28;0.012582311854087959
29;0.012582311854087959
30;0.012582311854087959
31;0.01355018199671011
32;0.01355018199671011
33;0.01355018199671011
34;0.01355018199671011
35;0.015054516640458959
36;-0.012109053184948499
37;0.013902814872813295
38;0.014478578893954213
39;0.014478578893954213
40;0.014478578893954213
41;0.014478578893954213
42;0.013334780597309765
43;0.012759016576168847
44;-0.0
45;-0.0
46;-0.0
47;0.012759016576168847
48;0.013906765733465639
49;0.01333100171232472
50;0.01333100171232472
51;0.013906765733465639
52;0.013334780597309765
53;0.013334780597309765
54;0.012759016576168847
55;0.0005757640211409185
56;0.0005757640211409185
57;0.013906765733465639
58;0.013906765733465639
59;-0.0011437982966444487
60;-0.0005719851361558731
61;-0.0005719851361558731
62;-0.0
63;0.0005719851361558731
64;0.0005719851361558731
65;-0.0005719851361558731
66;-0.0005719851361558731
67;-0.0005719851361558731
68;-0.0005719851361558731
69;-0.0011441423255762941
70;-0.0011441423255762941
71;-0.0011441423255762941
72;-0.0011441423255762941
73;-0.0011437982966444487
74;-0.0011437982966444487
75;-0.0011437982966444487
76;-0.0011437982966444487
77;-0.0011437982966444487
78;-0.0011437982966444487
79;-0.0011437982966444487
80;-0.0
81;-0.0
82;-0.0
83;-0.0
84;-0.0
85;-0.0
86;-0.0005719851361558731
87;-0.0005719851361558731
88;-0.0005719851361558731
89;-0.0005719851361558731
90;-0.0
91;-0.0005721571894204209
92;-0.0005721571894204209
93;0.012186859386748426
94;0.012759016576168847
95;-0.0005719851361558731
96;-0.0005719851361558731
97;-0.0
98;-0.0
99;-0.0
100;-0.0
101;-0.0005719851361558731
102;-0.0005719851361558731
103;-0.0
104;-0.0
105;-0.0
106;-0.0
107;0.0005721571894204209
108;0.0005721571894204209
109;0.0005721571894204209
110;0.0005721571894204209
111;-0.0
112;-0.0
113;-0.0
114;-0.0
115;-0.0
116;-0.0
117;-0.0
118;-0.0
119;-0.0
120;-0.0
121;-0.0
122;-0.0
123;0.013252851481592947
124;-0.0
125;-0.0004726515912603477
126;-0.0004726515912603477
127;0.021362463645277722
128;-0.0
129;0.00044371373873420395
130;-0.0
131;0.00044371373873420395
132;0.020492490013077597
133;0.009836912136323435
134;0.009836912136323435
135;0.009836912136323435
136;0.020492490013077597
137;0.020492490013077597
138;0.020492490013077597
139;0.009836912136323435
140;0.009836912136323435
141;0.009836912136323435
142;0.04073546713828959
143;0.020492490013077597
144;0.020492490013077597
145;0.020492490013077597
146;0.04073546713828959
147;0.030209799945381217
148;0.04030320879255594
149;0.04030320879255594
150;0.04030320879255594
151;0.03716301974339231
152;0.04702658077167198
153;0.028466926871609226
154;0.04743138493067205
155;0.04743138493067205
156;0.04743138493067205
157;0.05562060431307058
158;0.04621661254184936
159;0.05562060431307058
160;0.04621661254184936
161;0.03693688057713674
162;0.055098321507082784
163;0.054634938366909254
164;0.054634938366909254
165;0.03228614828394072
166;0.07054320547023586
167;0.07054320547023586
168;0.07107349749945478
169;0.08189096244463166
170;0.057399937794856
171;0.06911968220699151
172;0.06911968220699151
173;0.08091313027129808
174;0.06817841524786018
175;0.06918686711188532
176;0.06868271524509405
177;0.08091313027129808
178;0.0793993408437983
179;0.09063003662305114
180;0.05370249527923793
181;0.07789532159961324
182;0.07939985304779656
183;0.07839697905900257
184;0.05370249527923793
185;0.06578014667048791
186;0.05371729219459618
187;0.06588440913296337
188;0.06488706923856222
189;0.10428608927730694
190;0.09262915351661279
191;0.11456328994395969
192;0.10270764503588868
193;0.11275493295541236
194;0.1231909421999288
195;0.11351277383891235
196;0.11419057305129372
197;0.10218140250594553
198;0.12786311621089405
199;0.12782828937810417
200;0.126982070267033
201;0.13819501849986685
202;0.13819501849986685
203;0.13773700682095086
204;0.20986059399401907
205;0.22809961711044605
206;0.19343403304206427
207;0.15468712137814916
208;0.1642862472723449
209;0.14593708369241468
210;0.1555917690969187
211;0.15345495985036142
212;0.15386320236577225
213;0.1537805059245579
214;0.15341371758562902
215;0.1621947218447349
216;0.17304584161072317
217;0.17168115382547425
218;0.17168115382547425
219;0.1802819943299281
220;0.17894099890872123
221;0.18799470542605629
222;0.18844183490072938
223;0.1974042707813599
224;0.20666096476480048
225;0.19620867849882603
226;0.1967052939212655
227;0.18875309442759622
228;0.18920178015452221
229;0.18875309442759622
230;0.1876716289368531
231;0.17572728439443602
232;0.16424767422546793
233;0.18426186833031544
234;0.19530023785993472
235;0.206653823321923
236;0.1939326018300237
237;0.20335595468001194
238;0.20438032518288757
239;0.2027144122263026
240;0.20088741758294834
241;0.21163747032625224
242;0.1221520470411114
243;0.12127851338912726
244;0.16324211515611572
245;0.19790263885584905
246;0.19635449944313615
247;0.21877399722244656
