temps;distance
1;113.90268274039994
2;113.90268274039994
3;113.90268274039994
4;113.90268274039994
5;113.39596107770217
7;113.90268274039994
8;113.90268274039994
9;113.92456837476712
13;113.41770305090014
14;113.90268274039994
15;113.90268274039994
16;113.90268274039994
20;113.90268274039994
21;113.90268274039994
22;113.90268274039994
23;113.90268274039994
25;113.92456837476712
26;112.89235272140164
27;113.88080370759658
28;113.90268274039994
29;113.90268274039994
30;113.90268274039994
31;113.90268274039994
32;113.90268274039994
33;113.88080370759658
34;113.39596107770217
35;113.39596107770217
36;113.39596107770217
37;113.88080370759658
38;113.90268274039994
39;113.88080370759658
40;113.88080370759658
41;113.90268274039994
42;113.90268274039994
43;113.90268274039994
44;113.88080370759658
45;113.90268274039994
46;113.90268274039994
47;113.90268274039994
48;113.90268274039994
49;113.35249674242968
50;113.37422564252824
51;113.37422564252824
52;113.39596107770217
53;113.39596107770217
54;113.39596107770217
55;113.37422564252824
56;113.37422564252824
57;113.37422564252824
58;113.37422564252824
59;113.37422564252824
60;113.37422564252824
61;113.37422564252824
62;113.37422564252824
63;113.35249674242968
64;113.35249674242968
65;113.35249674242968
66;113.35249674242968
67;113.35249674242968
68;113.35249674242968
69;113.35249674242968
70;113.39596107770217
71;113.39596107770217
72;113.39596107770217
73;113.39596107770217
74;113.39596107770217
75;113.39596107770217
76;113.37422564252824
77;113.37422564252824
78;113.37422564252824
79;113.37422564252824
80;113.39596107770217
81;113.39596107770217
82;113.39596107770217
83;113.88080370759658
84;113.88080370759658
85;113.37422564252824
86;113.37422564252824
87;113.39596107770217
88;113.39596107770217
89;113.39596107770217
90;113.39596107770217
91;113.37422564252824
92;113.37422564252824
93;113.39596107770217
94;113.39596107770217
95;113.39596107770217
96;113.39596107770217
97;113.41770305090014
98;113.41770305090014
99;113.41770305090014
100;113.41770305090014
101;113.39596107770217
102;113.39596107770217
103;113.39596107770217
104;113.39596107770217
105;113.39596107770217
106;113.39596107770217
107;113.39596107770217
108;113.39596107770217
109;113.39596107770217
110;113.39596107770217
111;113.39596107770217
112;113.39596107770217
113;113.39596107770217
114;113.39596107770217
115;113.39596107770217
116;113.39596107770217
117;113.39596107770217
118;113.39596107770217
119;113.41770305090014
120;113.41770305090014
121;113.41770305090014
122;113.39596107770217
123;113.39596107770217
124;113.39596107770217
125;113.39596107770217
126;113.39596107770217
127;113.39596107770217
128;113.39596107770217
129;113.39596107770217
130;113.39596107770217
131;113.39596107770217
132;113.39596107770217
133;113.39596107770217
134;113.39596107770217
135;113.39596107770217
136;113.39596107770217
137;113.39596107770217
138;113.39596107770217
139;113.39596107770217
140;113.39596107770217
141;113.39596107770217
142;113.39596107770217
143;113.39596107770217
144;113.39596107770217
145;113.39596107770217
146;113.39596107770217
147;113.39596107770217
148;113.39596107770217
149;113.39596107770217
150;113.39596107770217
151;112.89235272140164
160;113.39596107770217
161;113.41770305090014
162;113.41770305090014
163;112.41328775001939
167;113.39596107770217
168;113.39596107770217
169;113.41770305090014
170;113.39596107770217
171;112.39182906706137
172;112.91395238302232
173;112.91395238302232
174;112.91395238302232
175;112.39182906706137
176;112.39182906706137
177;112.39182906706137
178;112.91395238302232
179;112.91395238302232
180;112.91395238302232
181;111.39992318792598
182;112.39182906706137
183;112.39182906706137
184;112.39182906706137
185;111.39992318792598
186;111.91568088037849
187;111.42110384686693
188;111.42110384686693
189;111.42110384686693
193;111.46348405104577
194;110.95057887757523
195;111.91568088037849
196;110.92952906130722
197;110.92952906130722
198;110.92952906130722
199;110.5036896534225
200;110.992697225526
201;110.5036896534225
202;110.992697225526
203;110.97163493139053
204;110.97163493139053
205;111.01376576275614
206;111.01376576275614
207;110.992697225526
208;110.5036896534225
209;110.5036896534225
210;110.5036896534225
211;110.03843161747227
212;110.03843161747227
213;110.08004541253567
214;110.08004541253567
215;109.5965140418991
216;109.5965140418991
217;109.55516751547407
218;109.57583774201251
219;109.5965140418991
220;109.65857940842659
221;109.19812088147722
222;109.19812088147722
223;109.19812088147722
224;109.1364350921017
225;109.17755292564226
226;109.19812088147722
227;109.21869486688848
228;109.21869486688848
229;108.71984307241543
230;108.76073400808588
237;106.87489612284426
238;106.87489612284426
239;106.87489612284426
240;106.41039267972812
241;105.96831201126908
242;105.50912760451035
243;105.50912760451035
244;105.96831201126908
245;106.0077079431609
248;105.11099387982487
249;105.09153361999773
250;105.130459699107
251;104.65679491176226
252;104.65679491176226
253;104.65679491176226
254;100.85010232969762
255;100.01110726634198
256;101.60572413348754
257;102.92282403407741
258;102.4812642429444
259;103.36693956268459
260;102.92282403407741
261;102.53758588878247
262;102.51880673307357
263;102.4812642429444
264;102.51880673307357
265;102.13555683704129
266;101.69847069433332
267;101.30078780550541
268;101.30078780550541
269;100.90514914230053
270;100.90514914230053
271;100.52979647604367
272;100.52979647604367
273;100.13809841094593
274;99.71229048770766
275;99.69424386146943
276;99.71229048770766
277;99.32477234574041
278;99.30682491666337
279;99.32477234574041
280;98.903527522254
281;98.93922063549164
282;98.93922063549164
283;98.13865287129774
284;98.15630249687169
285;97.74155501028397
286;97.74155501028397
287;97.36400734215728
288;97.36400734215728
289;96.95364724716276
290;97.02307304361022
291;96.61457103936468
292;96.20832454213539
293;95.40252375755514
294;95.40252375755514
295;95.40252375755514
296;95.01979326410523
297;95.05352766823162
298;94.68937596487135
299;94.70615975739216
300;94.70615975739216
301;93.54159072866744
302;93.5580905852994
303;93.94983235653768
304;93.18487545005125
305;92.82989693224735
306;92.82989693224735
307;92.09280368942092
308;92.47664252225249
309;92.10894957427504
310;91.36319918754546
311;91.01705088202571
312;91.01705088202571
313;90.65676427309727
314;90.2982942835695
315;90.2982942835695
316;89.57121161174231
317;89.6178372185309
318;89.6178372185309
319;88.89768253370882
320;88.54800985056673
321;88.20007421905581
322;87.86899370560427
323;87.8841285312825
324;87.8841285312825
325;86.84033543005802
326;86.50081464926805
327;86.16295593116655
328;85.84140431097202
329;85.50675579287447
330;85.50675579287447
331;84.81347716714163
332;84.48382426395254
333;84.49817128824773
334;84.18430872792776
335;83.85767542141714
336;83.85767542141714
337;83.20910291483531
338;82.88714128187712
339;82.91511141284022
340;82.27549299785763
341;81.9579605547623
342;81.9579605547623
343;81.66934101790514
344;81.01434153094871
345;80.72974895516191
346;80.41949037228693
347;80.43292099504976
348;80.43292099504976
349;79.82991095774648
350;79.21919883482502
351;78.91596726339523
352;78.62717191558076
353;77.7041420832723
354;77.7041420832723
355;77.43343775096056
356;77.45899293892187
357;77.17656331630288
358;76.27392412526761
359;75.9717125699865
